                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9688,                 3.3496,                 1.3711,                0.03667,                0.64928,                0.20385,                0.09382,                 1.9102,                 3.5111,                 1.3449,             0.00025051,             0.00025051,             0.00025051
                      2,                 1.8646,                 1.7657,                 1.2678,                0.47251,                 0.3924,                0.38953,                0.18053,                   1.94,                 2.4309,                 1.3749,             0.00049681,             0.00049681,             0.00049681
                      3,                  1.808,                 1.4817,                 1.2526,                0.52799,                 0.5408,                0.51018,                0.24348,                  1.928,                 1.9495,                 1.3278,             0.00073295,             0.00073295,             0.00073295
                      4,                 1.8187,                 1.3244,                 1.2464,                 0.5846,                0.58589,                0.54384,                0.22324,                 2.0302,                 1.5241,                 1.4071,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.7731,                 1.2913,                 1.2395,                0.66664,                0.60493,                0.64351,                0.28468,                 1.9191,                 1.3191,                  1.336,              0.0007081,              0.0007081,              0.0007081
                      6,                 1.7299,                 1.2548,                 1.2304,                0.59937,                0.57982,                 0.6103,                0.28009,                 1.8403,                 1.4608,                 1.3186,             0.00069287,             0.00069287,             0.00069287
                      7,                  1.733,                 1.1623,                 1.2151,                0.62116,                0.65363,                0.68228,                 0.3102,                 1.8506,                 1.3826,                 1.3122,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.6996,                 1.1603,                 1.2153,                0.62201,                0.70006,                0.67473,                0.31445,                 1.8257,                 1.3766,                 1.2951,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.6859,                 1.1554,                 1.2147,                 0.5942,                0.72612,                0.67809,                0.31331,                 1.8642,                 1.3259,                 1.3381,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.6951,                 1.1166,                 1.2132,                0.62053,                0.67353,                0.65741,                0.31834,                 1.8289,                 1.5165,                 1.3166,             0.00063196,             0.00063196,             0.00063196
