                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4123,                 4.1508,                 1.1955,                0.01692,                0.05674,                0.03482,                0.01485,                 2.2307,                 3.6571,                 1.0238,             0.00025051,             0.00025051,             0.00025051
                      2,                 2.3457,                 2.7072,                 1.0399,                0.66294,                0.08587,                0.17383,                0.07646,                 2.3168,                 3.0373,                 1.0326,             0.00050433,             0.00050433,             0.00050433
                      3,                 2.3052,                 1.9157,                 1.0199,                 0.5377,                0.21386,                0.26125,                0.11742,                 2.1931,                 1.9811,                 1.0177,             0.00075562,             0.00075562,             0.00075562
                      4,                 2.1979,                  1.465,                 1.0005,                0.46417,                0.43491,                0.37964,                0.16214,                 2.1328,                 1.4748,                 1.0095,             0.00075758,             0.00075758,             0.00075758
                      5,                 2.1368,                 1.2936,                0.99529,                0.53243,                0.43161,                0.40187,                0.18061,                 2.0045,                 1.2406,                0.99196,             0.00075377,             0.00075377,             0.00075377
                      6,                 2.0408,                 1.2354,                0.98754,                0.45086,                0.44558,                0.40418,                0.17208,                 2.1945,                  1.669,                0.99834,             0.00074997,             0.00074997,             0.00074997
                      7,                 2.0347,                 1.1542,                0.97809,                0.41973,                 0.5096,                0.45971,                0.21444,                 1.9193,                  1.312,                0.97558,             0.00074616,             0.00074616,             0.00074616
                      8,                 1.9586,                 1.1272,                0.97954,                0.58439,                0.50241,                0.48224,                 0.2178,                 1.9802,                 1.1706,                0.98759,             0.00074235,             0.00074235,             0.00074235
                      9,                 1.9315,                 1.1063,                0.97491,                0.53563,                0.47874,                0.45165,                0.19905,                 1.9698,                 1.4973,                 0.9696,             0.00073855,             0.00073855,             0.00073855
                     10,                  1.952,                 1.0887,                0.97183,                0.51885,                 0.5062,                0.47005,                0.20291,                 1.9421,                 1.2399,                0.98456,             0.00073474,             0.00073474,             0.00073474
                     11,                 1.9033,                 1.0559,                0.96561,                 0.5137,                0.51593,                 0.4905,                0.21896,                 1.9459,                 1.2876,                0.98079,             0.00073093,             0.00073093,             0.00073093
                     12,                 1.9191,                 1.0632,                0.96398,                0.54147,                0.59284,                0.52303,                0.22616,                 1.9297,                  1.251,                  0.977,             0.00072713,             0.00072713,             0.00072713
                     13,                 1.9121,                 1.0336,                0.96129,                0.55119,                0.53491,                0.54226,                0.23436,                  1.924,                 1.1682,                0.98139,             0.00072332,             0.00072332,             0.00072332
                     14,                 1.9051,                 1.0271,                0.95407,                0.57128,                0.57092,                0.56512,                0.25253,                 1.8904,                 1.0248,                0.96765,             0.00071951,             0.00071951,             0.00071951
                     15,                 1.8559,                0.99556,                0.95305,                0.55049,                0.56646,                0.53354,                0.24458,                 1.8912,                 1.1147,                 0.9694,             0.00071571,             0.00071571,             0.00071571
