                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4123,                 4.1508,                 1.1955,                0.01692,                0.05674,                0.03482,                0.01485,                 2.2307,                 3.6571,                 1.0238,             0.00025051,             0.00025051,             0.00025051
                      2,                 2.3497,                 2.7057,                 1.0402,                0.67596,                 0.0892,                0.16662,                0.07167,                 2.2877,                 2.9465,                 1.0307,             0.00050182,             0.00050182,             0.00050182
                      3,                  2.298,                 1.9077,                 1.0207,                0.49652,                0.25105,                0.27624,                0.12527,                  2.173,                 1.9073,                 1.0242,             0.00074806,             0.00074806,             0.00074806
                      4,                 2.2046,                 1.4668,                 1.0019,                0.61948,                0.32641,                0.35361,                0.15147,                 2.1201,                 1.5515,                0.99976,             0.00074616,             0.00074616,             0.00074616
                      5,                 2.1274,                 1.2919,                0.99621,                  0.411,                0.47278,                0.40798,                0.18061,                 2.0903,                 1.2751,                 1.0101,             0.00073855,             0.00073855,             0.00073855
                      6,                 2.0344,                 1.2381,                0.98743,                0.52587,                0.45762,                 0.3823,                 0.1605,                 2.2648,                  1.619,                 1.0003,             0.00073093,             0.00073093,             0.00073093
                      7,                 2.0359,                 1.1563,                0.97778,                 0.3751,                 0.5099,                0.44385,                0.20184,                 1.9382,                 1.3624,                0.97909,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.9529,                 1.1303,                0.97855,                0.59989,                0.47487,                 0.4708,                  0.218,                 1.9016,                 1.1434,                0.97714,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.9302,                 1.1065,                0.97623,                0.57705,                0.45574,                0.45851,                0.20231,                   2.04,                 1.3519,                0.98475,              0.0007081,              0.0007081,              0.0007081
                     10,                  1.943,                 1.0895,                0.97053,                0.45084,                0.53753,                0.46046,                0.20913,                 1.8952,                 1.1983,                0.97558,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.8924,                  1.052,                0.96491,                0.53313,                0.54187,                0.49825,                 0.2264,                 1.9356,                  1.181,                0.98309,             0.00069287,             0.00069287,             0.00069287
                     12,                  1.902,                 1.0584,                0.96233,                0.52511,                0.56126,                 0.4995,                0.22417,                 1.9169,                 1.2054,                0.98119,             0.00068526,             0.00068526,             0.00068526
