                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9678,                 3.1129,                 1.3639,                0.56674,                0.14588,                0.30228,                0.13926,                 1.9554,                 2.8298,                 1.3615,             0.00025342,             0.00025342,             0.00025342
                      2,                  1.864,                 1.7187,                 1.2775,                0.41349,                0.55074,                 0.4223,                0.18999,                  1.929,                 1.8422,                 1.3298,             0.00050639,             0.00050639,             0.00050639
                      3,                 1.8042,                 1.5643,                 1.2905,                0.51338,                0.60545,                0.54504,                0.25899,                 1.8867,                 1.5272,                 1.3165,             0.00075597,             0.00075597,             0.00075597
                      4,                  1.776,                  1.423,                 1.2525,                 0.6299,                0.66414,                0.64083,                0.29752,                 1.8703,                 1.3353,                 1.3333,             0.00075377,             0.00075377,             0.00075377
                      5,                 1.7673,                 1.3627,                 1.2528,                0.62154,                0.62702,                0.61775,                 0.2954,                  1.839,                 1.4375,                 1.3289,              0.0007487,              0.0007487,              0.0007487
                      6,                 1.7505,                 1.2805,                 1.2436,                0.59474,                0.64821,                0.62637,                0.28831,                 1.8216,                  1.488,                 1.3296,             0.00074362,             0.00074362,             0.00074362
                      7,                 1.7269,                 1.2182,                 1.2412,                 0.5628,                0.64888,                0.63496,                0.29987,                   1.85,                 1.3656,                 1.3445,             0.00073855,             0.00073855,             0.00073855
                      8,                 1.7179,                 1.2112,                 1.2322,                0.66258,                0.69506,                 0.6718,                0.31937,                 1.7788,                  1.285,                 1.3078,             0.00073347,             0.00073347,             0.00073347
                      9,                 1.6757,                 1.1916,                 1.2279,                 0.6364,                0.66344,                0.64949,                0.31762,                 1.7954,                 1.4623,                 1.3276,              0.0007284,              0.0007284,              0.0007284
                     10,                 1.6816,                 1.1543,                 1.2318,                0.66171,                0.66134,                0.69926,                0.33172,                  1.807,                 1.3225,                 1.3174,             0.00072332,             0.00072332,             0.00072332
                     11,                 1.6874,                 1.1075,                 1.2149,                 0.5869,                0.72054,                0.70648,                0.33463,                 1.8426,                 1.2841,                 1.3406,             0.00071825,             0.00071825,             0.00071825
                     12,                 1.6736,                 1.0781,                 1.2193,                0.67198,                0.72384,                0.70448,                0.34193,                 1.7888,                 1.1797,                 1.3175,             0.00071317,             0.00071317,             0.00071317
                     13,                 1.6722,                 1.0881,                 1.2202,                0.72845,                0.65615,                0.71496,                0.33626,                 1.7619,                 1.0938,                 1.3042,              0.0007081,              0.0007081,              0.0007081
                     14,                 1.6631,                 1.0484,                 1.2121,                0.68241,                0.68783,                0.68866,                0.31914,                 1.8305,                 1.2476,                 1.3538,             0.00070302,             0.00070302,             0.00070302
                     15,                 1.6649,                 1.0608,                 1.2143,                0.71437,                0.66437,                0.69727,                0.33185,                 1.8268,                 1.2027,                 1.3439,             0.00069794,             0.00069794,             0.00069794
                     16,                 1.6666,                 1.0512,                 1.2088,                0.67226,                0.74211,                0.72607,                0.35171,                 1.7634,                 1.1344,                 1.3041,             0.00069287,             0.00069287,             0.00069287
                     17,                 1.6529,                 1.0257,                 1.2118,                0.63179,                0.65005,                0.64624,                0.31236,                 1.8354,                 1.5109,                 1.3704,             0.00068779,             0.00068779,             0.00068779
                     18,                 1.6478,                 1.0033,                 1.1984,                0.65298,                0.73773,                0.72253,                0.33443,                 1.7815,                 1.1999,                 1.3227,             0.00068272,             0.00068272,             0.00068272
                     19,                 1.6329,                0.98597,                 1.1993,                0.66603,                0.68625,                0.70218,                0.33136,                 1.8193,                 1.1207,                 1.3589,             0.00067764,             0.00067764,             0.00067764
                     20,                 1.6267,                0.96125,                 1.2007,                0.67513,                0.67718,                0.69361,                0.33365,                 1.7788,                 1.2709,                 1.3397,             0.00067257,             0.00067257,             0.00067257
                     21,                 1.6125,                0.95158,                 1.2004,                0.66331,                0.71107,                0.69503,                0.33842,                 1.8257,                 1.1159,                 1.3412,             0.00066749,             0.00066749,             0.00066749
                     22,                 1.6298,                0.96973,                 1.2013,                0.63046,                0.73846,                0.68884,                0.32364,                 1.8224,                 1.2185,                 1.3439,             0.00066242,             0.00066242,             0.00066242
                     23,                 1.6137,                0.94167,                 1.1927,                 0.6319,                0.62984,                0.62818,                0.29327,                 1.9184,                 1.4758,                 1.4299,             0.00065734,             0.00065734,             0.00065734
                     24,                 1.6045,                0.95404,                    1.2,                0.73484,                0.73233,                0.74829,                0.37159,                 1.7589,                 1.0287,                 1.3101,             0.00065227,             0.00065227,             0.00065227
                     25,                 1.6008,                0.93787,                 1.1888,                0.72909,                0.69053,                0.71655,                0.33819,                 1.8481,                 1.0545,                 1.3629,             0.00064719,             0.00064719,             0.00064719
                     26,                 1.6051,                0.93403,                 1.1865,                0.70776,                0.76134,                0.74457,                0.35322,                 1.7926,                 1.1055,                 1.3257,             0.00064212,             0.00064212,             0.00064212
                     27,                 1.5867,                0.90444,                 1.1909,                0.66954,                0.70269,                0.70946,                0.33907,                 1.8377,                 1.2115,                 1.3743,             0.00063704,             0.00063704,             0.00063704
                     28,                 1.5888,                0.90985,                 1.1904,                0.70841,                0.72272,                0.75719,                0.36193,                 1.7661,                 1.0424,                 1.3219,             0.00063196,             0.00063196,             0.00063196
                     29,                 1.5823,                 0.8975,                 1.1849,                 0.7622,                0.68847,                 0.7344,                0.35136,                 1.7772,                 1.0269,                 1.3346,             0.00062689,             0.00062689,             0.00062689
                     30,                 1.5792,                0.89184,                 1.1834,                0.74298,                0.67736,                0.72822,                0.34144,                 1.8209,                 1.0396,                 1.3494,             0.00062181,             0.00062181,             0.00062181
                     31,                 1.5793,                0.88823,                 1.1878,                 0.6905,                0.69916,                0.71438,                  0.348,                 1.8036,                 1.1197,                 1.3497,             0.00061674,             0.00061674,             0.00061674
                     32,                 1.5666,                0.89142,                 1.1784,                0.72207,                0.66604,                0.71245,                0.33578,                 1.8042,                 1.1415,                 1.3232,             0.00061166,             0.00061166,             0.00061166
                     33,                 1.5477,                 0.8613,                 1.1708,                0.67109,                0.73514,                0.68704,                0.30894,                 1.7933,                 1.1533,                 1.3429,             0.00060659,             0.00060659,             0.00060659
                     34,                 1.5611,                0.86378,                 1.1784,                0.69528,                0.71562,                 0.7202,                0.33704,                 1.8147,                 1.1239,                 1.3472,             0.00060151,             0.00060151,             0.00060151
                     35,                 1.5617,                0.85133,                 1.1707,                0.72642,                0.68517,                0.73055,                0.34137,                 1.8383,                 1.0511,                 1.3654,             0.00059644,             0.00059644,             0.00059644
                     36,                  1.556,                0.85504,                 1.1719,                0.69868,                0.72215,                0.72429,                0.34246,                 1.8131,                 1.0585,                 1.3563,             0.00059136,             0.00059136,             0.00059136
                     37,                  1.552,                0.84014,                 1.1624,                0.71998,                 0.6886,                0.71103,                0.32968,                 1.8228,                  1.095,                 1.3533,             0.00058629,             0.00058629,             0.00058629
                     38,                 1.5234,                0.82891,                  1.155,                0.71943,                0.68698,                0.69469,                0.32629,                  1.804,                 1.1167,                 1.3424,             0.00058121,             0.00058121,             0.00058121
                     39,                 1.5308,                0.83221,                 1.1609,                0.67005,                0.70539,                0.69142,                0.32852,                 1.8362,                 1.1667,                 1.3718,             0.00057613,             0.00057613,             0.00057613
                     40,                 1.5225,                0.81497,                 1.1585,                0.67691,                0.68498,                0.69694,                0.33125,                 1.8461,                  1.173,                 1.3815,             0.00057106,             0.00057106,             0.00057106
                     41,                 1.5184,                0.81406,                 1.1525,                0.69349,                0.69018,                0.71407,                0.34259,                 1.7974,                 1.0698,                 1.3401,             0.00056598,             0.00056598,             0.00056598
                     42,                 1.5459,                0.82053,                 1.1636,                0.69947,                0.69793,                0.71041,                0.32364,                  1.861,                 1.1223,                 1.3852,             0.00056091,             0.00056091,             0.00056091
                     43,                 1.5095,                0.79634,                 1.1612,                0.68941,                 0.6852,                0.70585,                0.33694,                 1.7996,                 1.0689,                 1.3475,             0.00055583,             0.00055583,             0.00055583
                     44,                 1.4994,                0.79333,                 1.1601,                0.73361,                0.68651,                0.69807,                0.32855,                 1.8782,                 1.1531,                 1.3992,             0.00055076,             0.00055076,             0.00055076
                     45,                 1.5027,                0.79585,                  1.156,                0.72527,                0.66622,                0.68736,                 0.3185,                 1.8335,                 1.2076,                 1.3718,             0.00054568,             0.00054568,             0.00054568
                     46,                  1.479,                0.77908,                 1.1481,                0.70445,                0.67168,                 0.6816,                0.32985,                 1.8217,                 1.3032,                 1.3647,             0.00054061,             0.00054061,             0.00054061
                     47,                 1.5071,                0.77834,                 1.1422,                0.70846,                0.69545,                0.70356,                0.32736,                 1.8293,                 1.1435,                 1.3691,             0.00053553,             0.00053553,             0.00053553
                     48,                 1.4834,                0.77762,                 1.1391,                 0.7025,                0.70031,                0.72392,                0.34236,                 1.8738,                 1.0519,                 1.3928,             0.00053046,             0.00053046,             0.00053046
                     49,                 1.5074,                0.77977,                 1.1453,                0.76907,                0.69255,                0.72901,                0.34806,                 1.8355,                0.96153,                 1.3673,             0.00052538,             0.00052538,             0.00052538
                     50,                 1.4762,                0.77567,                 1.1417,                0.68982,                0.69331,                0.69788,                0.32905,                 1.8275,                 1.0698,                 1.3645,             0.00052031,             0.00052031,             0.00052031
                     51,                 1.4806,                0.76212,                 1.1335,                0.69804,                 0.7101,                0.71542,                0.34143,                 1.8447,                 1.0432,                  1.387,             0.00051523,             0.00051523,             0.00051523
                     52,                 1.4615,                0.75428,                 1.1416,                0.70513,                0.71509,                0.72107,                0.34596,                  1.814,                 1.0347,                 1.3653,             0.00051015,             0.00051015,             0.00051015
